V_COD_ESTA,V_COD_TIPO,V_COD_ANESTA,V_NOM_ESTA,V_COD_CUEN,V_COD_CATE,V_COD_PROV,V_COD_DEP,V_COD_DIST,V_COD_ENTI,V_COD_DRE,N_LON_GRAD,N_LON_MIN,N_LON_SEG,N_LON_SIG,N_LAT_GRAD,N_ALT_MTS,N_LAT_MIN,N_LAT_SEG,N_LAT_SIG,V_COD_COND,V_SUB_ESTA,V_CLAS_ESTA,V_COD_ZONA,V_COD_CUENCA,V_NOM_CUENCA,V_COD_POSTAL,N_MIN_HELADA,N_MAX_HELADA
106114,M,153325,ORELLANA,,15,,,,SEN,,,,,-75.166940,,139,,,-6.900280,C,C,CON,,,,,,
203801,H,203801,ORONGO,,05,,,,SEN,,,,,-75.166940,,548,,,-14.500280,C,C,CON,,,,,,
204504,H,204504,OCOn,,05,,,,SEN,,,,,-73.114500,,15,,,-16.427000,F,C,CON,,,,,,
103054,M,000180,PEBAS,,11,,,,SEN,,,,,-71.858800,,102,,,-3.318800,F,C,CON,,,,,,
200421,H,200422,PUENTE PALTASHACO,,06,,,,SEN,,,,,-79.900280,,564,,,-5.116940,C,C,CON,,,,,,
203814,H,203814,PUENTE PANAMERICANA,,05,,,,SEN,,,,,-75.516940,,564,,,-14.216940,C,C,CON,,,,,,
200406,H,200407,PUENTE PIURA,,06,,,,SEN,,,,,-80.616940,,23,,,-5.183610,C,C,CON,,,,,,
200419,H,200420,PUENTE PIURA,,06,,,,SEN,,,,,-80.633610,,20,,,-5.200280,C,C,CON,,,,,,
202005,H,202005,PUENTE QUILLO,,06,,,,SEN,,,,,-78.133610,,769,,,-9.333610,C,C,CON,,,,,,
230403,H,230403,PUENTE SAN MIGUEL,,05,,,,SEN,,,,,-72.216940,,"3,723",,,-13.300280,C,C,CON,,,,,,
201201,H,201200,PUENTE SANCHEZ CERRO,,06,,,,SEN,,,,,-80.616940,,23,,,-5.183610,C,C,CON,,,,,,
230906,H,230909,PUENTE STUART,,05,,,,SEN,,,,,-75.483610,,"3,363",,,-11.783610,C,C,CON,,,,,,
104011,M,150300,PUENTE SULLANA,,15,,,,SEN,,,,,-80.683610,,25,,,-4.883610,C,C,CON,,,,,,
221903,H,221905,PUERTO CHINCHAVITO,,05,,,,SEN,,,,,-75.950280,,842,,,-9.483610,P,C,CON,,,,,,
109052,M,154204,PUENTE TARUCA,,15,,,,SEN,,,,,-76.116940,,"2,740",,,-9.816940,C,C,CON,,,,,,
221808,H,221809,PUENTE TARUCA,,05,,,,SEN,,,,,-76.166940,,"1,967",,,-9.866940,C,C,CON,,,,,,
200201,H,200201,PUENTE TUMBES,,06,,,,SEN,,,,,-80.466940,,5,,,-3.583610,C,C,CON,,,,,,
103010,M,150203,PUERTO ALEGRE,,15,,,,SEN,,,,,-73.116940,,91,,,-3.500280,C,C,CON,,,,,,
240101,H,240203,PUERTO ALEGRE,,06,,,,SEN,,,,,-73.116940,,95,,,-3.500280,C,C,CON,,,,,,
240002,H,240106,PUERTO ALEGRIA,,06,,,,SEN,,,,,-70.066940,,70,,,-4.150280,C,C,CON,,,,,,
103046,M,000152,PUERTO ALMENDRA,,11,,,,SEN,,,,,-73.377000,,96,,,-3.828600,F,C,CON,,,,,,
110034,M,000570,PUERTO BERMUDEZ,,11,,,,SEN,,,,,-74.900280,,300,,,-10.300280,C,C,CON,,,,,,
202003,H,202003,PUENTE CARRETERA,,06,,,,SEN,,,,,-78.300280,,39,,,-9.483610,C,C,CON,,,,,,
202502,H,202502,PUENTE EL PANDO,,06,,,,SEN,,,,,-77.583610,,220,,,-10.850280,C,C,CON,,,,,,
202201,H,202201,PUENTE CARRETERA,,06,,,,SEN,,,,,-78.216940,,224,,,-9.416940,C,C,CON,,,,,,
204614,H,204615,PUENTE CARRETERA CAMANA,,05,,,,SEN,,,,,-72.733610,,25,,,-16.600280,C,C,CON,,,,,,
204619,H,204620,PUENTE CARRETERA COLCA,,05,,,,SEN,,,,,-71.450280,,"3,910",,,-15.483610,C,C,CON,,,,,,
204604,H,204604,PUENTE COLGANTE-SIBAYO,,05,,,,SEN,,,,,-71.463700,,"3,810",,,-15.494200,F,C,CON,,,,,,
220301,H,220301,PUENTE CONCHAN,,05,,,,SEN,,,,,-78.650280,,"2,474",,,-6.433610,C,C,CON,,,,,,
220201,H,220201,PUENTE CRISNEJAS,,06,,,,SEN,,,,,-78.113130,,"1,988",,,-7.463540,F,C,CON,,,,,,
111078,M,155178,PACAYBAMBA,,15,,,,SEN,,,,,-76.900280,,"1,564",,,-11.450280,C,C,CON,,,,,,
105106,M,000235,MORROPON,,11,,,,SEN,,,,,-79.971070,,128,,,-5.194650,F,C,CON,,,,,,
106048,M,000334,MOTUPE,,11,,,,SEN,,,,,-79.733610,,125,,,-6.150280,C,C,CON,,,,,,
230920,H,230924,MOYA,,05,,,,SEN,,,,,-75.150280,,"3,120",,,-12.400280,C,C,CON,,,,,,
203803,H,203803,MOYAQUE,,05,,,,SEN,,,,,-75.150280,,637,,,-14.516940,C,C,CON,,,,,,
